year,language,artist_name,track_name,track_id,album_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,label
2021,華語,告五人,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),1Ytgo9ipdlTsf6wlg6sXf3,運氣來得若有似無,60,0.46,0.297,9.0,-8.785,1.0,0.0309,0.692,0.000318,0.107,0.125,180.095,357.094,4.0,1
2021,華語,程響,四季予你,4BGkSCrjiLao1bpibNptTD,四季予你,59,0.534,0.595,3.0,-6.745,1.0,0.033,0.75,0.0,0.116,0.187,141.957,248.527,4.0,1
2021,華語,Eric Chou,如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲,0TVrlU8El0K6U1pC2LOt09,如果能幸福 (HBO Asia原創影集《戒指流浪記》片尾曲),55,0.48,0.358,0.0,-9.565,1.0,0.0282,0.622,2.12e-05,0.107,0.142,149.945,259.588,4.0,1
2021,華語,WeiBird,"如果可以 - 電影""月老""主題曲",72OVnXDzugvrCU25lMi9au,"如果可以 (電影""月老""主題曲)",71,0.54,0.54,3.0,-6.368,1.0,0.029,0.241,0.0,0.351,0.372,74.969,274.4,4.0,1
2021,華語,告五人,唯一 (三立/台視戲劇《戀愛是科學》插曲),19fp9nI0tq0lcBl7XoCHAb,運氣來得若有似無,62,0.485,0.103,1.0,-13.383,1.0,0.0367,0.959,5.32e-05,0.107,0.21,140.595,270.761,4.0,1
2021,華語,Eric Chou,愛我的時候,6us212S3fCRIQwOwNExqLH,愛我的時候,61,0.453,0.384,6.0,-9.533,1.0,0.0312,0.867,0.0,0.112,0.153,75.39,224.4,4.0,1
2021,華語,告五人,醜人多作怪 (《新斗羅大陸》手遊半週年主題曲),5nVrrh7PIybgCb7SoM5IZB,運氣來得若有似無,51,0.595,0.753,6.0,-4.677,0.0,0.0393,0.174,0.0,0.159,0.466,90.026,257.473,4.0,1
2021,華語,艾怡良,我這個人 - 《我沒有談的那場戀愛》電影宣傳主題曲,48QxMLotKqBNQBdH5VBTzj,秋日思念絮語,0,0.395,0.133,10.0,-12.712,1.0,0.0441,0.926,0.0,0.0906,0.234,142.474,290.023,4.0,1
2021,華語,WeiBird,因為是你 - 原創影集《火神的眼淚》片頭曲,0TqOMBOKodVMnr1NgMwOt7,因為是你 (原創影集《火神的眼淚》片頭曲),52,0.429,0.521,7.0,-8.402,1.0,0.033,0.462,6.44e-05,0.118,0.231,149.953,211.42,4.0,1
2021,華語,Eric Chou,離開你以後 - 電影《你的婚禮》插曲,4cSCMlCcY65zlz1ZPhqsCe,離開你以後 (電影《你的婚禮》插曲),58,0.24,0.469,3.0,-9.235,1.0,0.0361,0.753,2.05e-06,0.0917,0.24,154.969,309.84,4.0,1
2021,華語,G.E.M.,平凡天使,4WnwrZsv8lVHt0ribAeL1I,平凡天使,46,0.651,0.175,1.0,-13.896,1.0,0.0361,0.944,0.0,0.133,0.299,139.749,213.84,4.0,1
2021,華語,頑童Mj116,Sweet Baby,1eoW6TJe2MRGyibkzZdRvg,Sweet Baby,45,0.9,0.573,11.0,-8.392,0.0,0.164,0.0354,0.0259,0.319,0.0736,100.027,182.963,4.0,1
2021,華語,G.E.M.,平行世界,6xGMrc6adNDrMeOnBG0zxI,平行世界,45,0.275,0.54,2.0,-7.951,0.0,0.067,0.0851,0.0,0.099,0.118,217.403,247.067,4.0,1
2021,華語,Eric Chou,你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲,5Y47GrCrjQY44qFv8Gt0Gm,你不屬於我 (《比悲傷更悲傷的故事》影集版片尾曲),65,0.358,0.391,9.0,-8.979,1.0,0.0316,0.856,0.00232,0.0971,0.284,75.168,322.267,4.0,1
2021,華語,高爾宣 OSN,Till My Ride Comes (電影《複身犯》主題曲),22t9VbyGsB6R6b2jqv5Rpa,Till My Ride Comes (電影《複身犯》主題曲),37,0.712,0.769,4.0,-5.467,0.0,0.127,0.0697,5.41e-06,0.402,0.295,170.019,166.235,4.0,1
2021,華語,阿冗,三個字,2DLDl15CgiHYekr1YOr1mI,三個字,38,0.666,0.439,11.0,-8.55,1.0,0.0366,0.787,0.0,0.368,0.49,116.074,255.0,4.0,1
2021,華語,G.E.M.,超能力,0ynz4VvIZrq0ZWshXiwRxY,超能力,47,0.892,0.646,10.0,-5.592,0.0,0.0948,0.107,8.11e-06,0.0707,0.496,112.983,203.136,4.0,1
2021,華語,白噪声安卓,入睡 打瞌睡 白色 舒适 噪音,3P0Io8GTc3Pl2Q2cTfLfeY,白噪声,0,0.208,0.0948,1.0,-35.824,1.0,0.08,0.741,0.973,0.114,0.0385,109.184,64.273,4.0,1
2021,華語,告五人,同樣一個你,6YhkGoVGORRi9s9F9Sky8F,運氣來得若有似無,47,0.641,0.643,3.0,-6.023,1.0,0.0295,0.288,0.000357,0.309,0.486,94.969,271.159,4.0,1
2021,華語,琳誼 Ring,蚵仔麵線 (電視劇《俗女養成記2》插曲),3F3uPlgFAvJCuSzD8EoC0X,青春集,43,0.686,0.255,9.0,-10.968,1.0,0.0289,0.855,0.0,0.146,0.428,97.963,209.829,4.0,1
2021,華語,TRASH,終究還是因為愛,53yiHIP3ptxWtT4ambRcgb,Holy Trip!,62,0.552,0.8,10.0,-5.203,1.0,0.0587,0.0253,2.22e-06,0.125,0.182,126.027,285.222,4.0,1
2021,華語,大淵 MUTA,FatBoyGang,36XrSk5yUQnBLDJqkddwwo,過得爽爽 Phat Life,34,0.773,0.862,2.0,-6.481,1.0,0.258,0.0446,4.46e-06,0.298,0.834,169.924,171.262,4.0,1
2021,華語,影子計劃 Shadow Project,戀曲2020,4OYGydgDC0jqAcVJezJAVn,TAKE A BREATH,41,0.711,0.453,6.0,-5.687,1.0,0.103,0.502,0.0,0.102,0.32,85.009,299.125,4.0,1
2021,華語,多多 x 以捷,走建國路回家但後座少ㄌ泥,17zdIZ1I5S5dxqDO193HLI,走建國路回家但後座少ㄌ泥,49,0.465,0.485,4.0,-4.666,1.0,0.036,0.471,0.0,0.14,0.544,138.776,271.383,4.0,1
2021,華語,艾薇,甘蔗掰掰,3Y4DNKS8Ibln6wCSsXNu35,I,36,0.64,0.628,1.0,-6.731,0.0,0.233,0.169,0.0,0.0768,0.616,166.037,202.498,4.0,1
2021,華語,告五人,與海無關 (《比悲傷更悲傷的故事》影集版插曲),4HMsQy6myJNy1GoCLsIDDR,運氣來得若有似無,52,0.654,0.227,2.0,-12.619,1.0,0.0298,0.906,2.14e-05,0.091,0.373,78.155,245.232,4.0,1
2021,華語,魏嘉瑩 Arrow Wei,你好嗎,2T7LYExbf85ML5WrzWBz1F,你好嗎?,26,0.491,0.483,4.0,-6.677,1.0,0.0293,0.67,0.0,0.261,0.452,143.919,268.631,4.0,1
2021,華語,艾薇,絕美,2P6UP87aTcKxiozVOI5zxO,I,37,0.562,0.499,9.0,-4.696,1.0,0.0338,0.167,0.0,0.0997,0.145,123.851,257.825,4.0,1
2021,華語,李千那,跟自己對話,0J6iEXjedDzX3wqSzI7naF,跟自己對話,23,0.48,0.418,7.0,-6.246,1.0,0.0357,0.833,0.0,0.134,0.342,144.098,243.675,4.0,1
2021,華語,童雲晞,無間鳥 - 影視旗艦大戲《她們創業的那些鳥事》主題曲,742iXDvczYxeIYDU3GwScR,無間鳥-影視旗艦大戲《她們創業的那些鳥事》主題曲,30,0.472,0.748,5.0,-3.822,1.0,0.156,0.177,0.0,0.078,0.616,170.164,207.093,4.0,1
2021,華語,不是花火呀,TA,3SEpoQd1OutcbIfiZQ05PK,TA,53,0.684,0.495,1.0,-11.074,0.0,0.0548,0.434,0.797,0.138,0.358,149.975,235.648,4.0,1
2021,華語,告五人,運氣來得若有似無,0fs0LBPebyalY3KOh1aUWL,運氣來得若有似無,39,0.479,0.348,4.0,-10.45,1.0,0.0625,0.796,0.0,0.924,0.523,151.532,266.715,4.0,1
2021,華語,Ray 黃霆睿,我們 (《奇蹟》前導片插曲),4p9jKHLROoI5z8rUSJD20Y,fff,32,0.637,0.432,10.0,-11.076,1.0,0.0346,0.543,3.13e-06,0.086,0.153,110.016,229.696,4.0,1
2021,華語,木曜4超玩,Bring you to life,2GMosJBtvOHVEUusV6WZSJ,木曜跨界演唱會-Rising,31,0.793,0.746,4.0,-6.105,1.0,0.129,0.424,0.0,0.0987,0.378,92.021,228.246,4.0,1
2021,華語,九澤CP,最後一秒鐘 - 電視劇《無神之地不下雨》片頭曲,7I29FyReXZthfKIpO52Jm6,最後一秒鐘 (電視劇《無神之地不下雨》片頭曲),39,0.583,0.7,0.0,-3.576,1.0,0.0354,0.341,0.0,0.131,0.296,135.938,300.441,4.0,1
2021,華語,A-Lin,最悲傷的事 - 《比悲傷更悲傷的故事》影集版 主題曲,1uFmbLzPHHoweD5HEKg240,最悲傷的事 (《比悲傷更悲傷的故事》影集版 主題曲),50,0.402,0.441,2.0,-7.664,1.0,0.0426,0.775,0.0,0.0882,0.228,128.927,297.024,4.0,1
2021,台語,琳誼 Ring,愛情限時批,0r94QKwklGKTzeHikFAHVB,愛情限時批,34,0.657,0.663,2.0,-8.46,1.0,0.0281,0.682,0.00327,0.118,0.562,102.02,229.0,4.0,1
2021,台語,潘信維,渡鳥(電影《角頭-浪流連》片尾曲),17ZYbXRXDADlqyFhziQYuv,渡鳥(電影《角頭-浪流連》片尾曲),28,0.4,0.764,9.0,-9.115,0.0,0.0523,0.00715,0.00724,0.344,0.125,91.272,367.887,4.0,1
2021,台語,琳誼 Ring,心愛的再會啦,32szcVRPZBtw4dJ0lt7mzJ,琳誼Ring01 北棲Playlist,22,0.44,0.141,0.0,-11.812,1.0,0.0462,0.865,0.0,0.102,0.306,189.344,211.547,3.0,1
2021,台語,琳誼 Ring,憂愁,2DkPtUSsyzwOmdyIgeAxJH,青春集,26,0.341,0.575,7.0,-8.247,1.0,0.0918,0.815,0.0,0.164,0.505,177.07,252.959,4.0,1
2021,台語,琳誼 Ring,錄音帶,1LTsdKDwQXCQEcfC7tlSty,青春集,20,0.433,0.433,0.0,-9.047,1.0,0.0404,0.811,7e-06,0.463,0.293,166.076,262.171,4.0,1
2021,台語,許富凱,祝福,5GMS7vxKZt0pIrEqx5JRn0,拾歌,32,0.36,0.291,0.0,-8.729,1.0,0.0338,0.778,0.0,0.143,0.192,135.747,255.318,4.0,1
2021,台語,郭婷筠,心內有你是幸福 (民視八點檔《多情城市》片頭曲),53iijm6VyLaC3TdqnkrP8m,心內有你是幸福,29,0.522,0.52,5.0,-7.909,1.0,0.0358,0.802,0.0,0.122,0.321,124.034,227.032,4.0,1
2021,台語,許富凱,無聲,2usYHgNrJXweE1U4ayZXkQ,無聲,26,0.463,0.431,6.0,-10.606,1.0,0.0453,0.828,8.92e-06,0.278,0.356,141.857,308.505,4.0,1
2021,台語,許富凱,雨傘情,0IVo1rrGnXKAERwNOmoNwl,拾歌,36,0.484,0.38,6.0,-10.255,1.0,0.044,0.664,1.01e-05,0.12,0.269,79.962,280.323,3.0,1
2021,台語,琳誼 Ring,繁華攏是夢,766GTXLUWxdQf6cub2GRoP,青春集,25,0.396,0.186,1.0,-12.125,1.0,0.0323,0.904,2.34e-06,0.176,0.256,138.037,240.289,4.0,1
2021,台語,草屯囝仔,愈愛愈殘忍,5vZ0QMScl2JCu7JgXfgOIJ,愈愛愈殘忍,32,0.516,0.793,2.0,-3.572,0.0,0.0551,0.00284,9.83e-06,0.0453,0.797,180.028,217.917,4.0,1
2021,台語,許富凱,放阮一個人,5AaDSlj5vtk5fHAnW85xen,拾歌,34,0.444,0.44,1.0,-9.065,1.0,0.0329,0.109,0.000134,0.0699,0.208,139.892,226.597,4.0,1
2021,台語,詹雅雯,難渡情關,4NQbY6GrT9AdIKFP4JkzCq,幸福過敏,25,0.56,0.467,6.0,-6.198,1.0,0.0283,0.678,0.0,0.103,0.658,77.035,208.098,4.0,1
2021,台語,蔡昌憲,玲瑯踅,01F92LuUbVpKeVBHQu90cr,有閒,22,0.653,0.638,9.0,-6.999,1.0,0.0376,0.547,0.0,0.192,0.771,95.003,243.016,4.0,1
2021,台語,許富凱,陀螺,1cGu08B7yfOcYr6OTmYz3F,拾歌,29,0.591,0.415,6.0,-9.589,1.0,0.0362,0.501,0.000489,0.127,0.142,89.978,258.946,4.0,1
2021,台語,陳布朗 MrBrown,恰查某,08ZF3CagmLjiUynJMZGfSh,恰查某,22,0.913,0.927,9.0,-2.597,0.0,0.0796,0.0462,0.0,0.0753,0.93,130.017,242.0,4.0,1
2021,台語,琳誼 Ring,癡情男子漢,7Gdb1N6yeVRPI4yRrBl7me,青春集,20,0.604,0.7,2.0,-5.186,1.0,0.121,0.452,0.0,0.0454,0.761,74.917,210.503,4.0,1
