名次,歌名,歌手,語言,年分,專輯
1,愛情你比我想的閣較偉大,茄子蛋,華語,2021,《當男人戀愛時》電影主題曲
2,在這座城市遺失了你,告五人,華語,2021,《運氣來得若有似無》
3,我很好騙,動力火車,華語,2021,《都是因為愛》
4,四季予你,程響,華語,2021,《四季予你》
5,阿拉斯加海灣,蔡恩雨,華語,2021,《阿拉斯加海灣》
6,因為你 所以我,五月天,華語,2021,《因為你 所以我》
7,白月光與朱砂痣,大籽,華語,2021,《白月光與朱砂痣》
8,失重前幸褔,艾薇,華語,2021,《失重前幸褔》
9,如果能幸福,Eric 周興哲,華語,2021,《如果能幸福》
10,星辰大海,黃霄雲,華語,2021,《星辰大海》
11,如果可以,WeiBird 韋禮安,華語,2021,《如果可以》
12,唯一,告五人,華語,2021,《運氣來得若有似無》
13,清空,王忻辰、蘇星婕,華語,2021,《清空》
14,漸冷,雪二,華語,2021,《漸冷》
15,緩緩,aMEI,華語,2021,《緩緩》
16,愛我的時候,Eric 周興哲、單依純,華語,2021,《愛我的時候》
17,醜人多作怪,告五人,華語,2021,《運氣來得若有似無》
18,寫一條歌，寫你我爾爾,蕭煌奇、茄子蛋,華語,2021,《舞台》
19,我不需要每一個人都愛我,八三夭,華語,2021,《我不需要每一個人都愛我》
20,我這個人,艾怡良,華語,2021,《我這個人》
21,玻璃心,黃明志 、陳芳語,華語,2021,《玻璃心》
22,因為是你,WeiBird 韋禮安,華語,2021,《因為是你》
23,最美的風景,Marz23、莫宰羊,華語,2021,《最美的風景》
24,離開你以後,Eric 周興哲,華語,2021,《離開你以後》
25,潛台詞,邱鋒澤 & 黃偉晉,華語,2021,《潛台詞》
26,不完美的我,蕭敬騰,華語,2021,《不完美的我》
27,平凡天使,G.E.M. 鄧紫棋,華語,2021,《平凡天使》
28,Sweet Baby,頑童MJ116,華語,2021,《Sweet Baby》
29,平行世界,G.E.M. 鄧紫棋,華語,2021,《平行世界》
30,日環食,邱鋒澤,華語,2021,《日環食》
31,你不屬於我,Eric 周興哲,華語,2021,《你不屬於我》
32,過,王嘉爾 、林俊傑,華語,2021,《過》
33,青空未來,五月天 阿信,華語,2021,《青空未來》
34,各自安好,劉若英,華語,2021,《各自安好》
35,"想啊,想著你",吳汶芳,華語,2021,"《想啊,想著你-影視旗艦大戲《她們創業的那些鳥事》片尾曲》"
36,把回憶拼好給你,王貳浪,華語,2021,《把回憶拼好給你》
37,Till My Ride Comes,高爾宣 OSN,華語,2021,《Till My Ride Comes》
38,繞,江美琪,華語,2021,《繞》
39,HAVE A NICE DAY,魏如萱,華語,2021,《HAVE A NICE DAY》
40,三個字,阿冗,華語,2021,《三個字》
41,懂得雨天,郁可唯,華語,2021,《懂得雨天》
42,薩哈星球,蕭敬騰,華語,2021,《薩哈星球》
43,超能力,G.E.M. 鄧紫棋,華語,2021,《超能力》
44,better off without you,吳卓源 、瘦子E.SO,華語,2021,《better off without you》
45,忘了沒有,王靖雯,華語,2021,《忘了沒有》
46,白色,白安,華語,2021,《白色》
47,藍色天空,九九,華語,2021,《藍色天空》
48,勇氣,魏嘉瑩、魏如昀,華語,2021,《勇氣》
49,規則就是用來打破的,八三夭,華語,2021,《規則就是用來打破的》
50,同樣一個你,告五人,華語,2021,《運氣來得若有似無》
51,餘額,孫燕姿,華語,2021,《餘額》
52,蚵仔麵線,琳誼 Ring,華語,2021,《青春集》
53,終究還是因為愛,TRASH,華語,2021,《Holy Trip!》
54,刻在我心底的名字,五月天,華語,2021,《刻在我心底的名字》
55,FatBoyGang,大淵MUTA,華語,2021,《FatBoyGang》
56,我是誰,蔡依林、Jony J,華語,2021,《《狼殿下》影視原聲帶》
57,笑著回家,黃明志,華語,2021,《笑著回家》
58,Fall in Love,九九 、陳忻玥,華語,2021,《Fall in Love》
59,未發送,阿冗,華語,2021,《未發送》
60,兜轉,陳勢安,華語,2021,《兜轉》
61,星星,陳零九 Nine Chen,華語,2021,《星星》
62,Tides,Dizzy Dizzo、高爾宣 OSN,華語,2021,《Tides》
63,用破碎的心修好破碎的心,持修,華語,2021,《用破碎的心修好破碎的心》
64,小心翻閱,孫盛希 Shi Shi,華語,2021,《小心翻閱》
65,戀曲2020,影子計,華語,2021,《戀曲2020》
66,走建國路回家但後座少ㄌ泥,多多 x 以捷,華語,2021,《走建國路回家但後座少ㄌ泥》
67,閣愛妳一擺,茄子蛋,華語,2021,《閣愛妳一擺》
68,甘蔗掰掰,艾薇,華語,2021,《甘蔗掰掰》
69,與海無關,告五人,華語,2021,《運氣來得若有似無》
70,你好嗎,魏嘉瑩,華語,2021,《你好嗎？》
71,絕美,艾薇,華語,2021,《絕美》
72,再也沒有你,梁心頤,華語,2021,《來者何人{}》
73,跟自己對話,李千那,華語,2021,《跟自己對話》
74,來遲,戴羽彤,華語,2021,《來遲》
75,要怎麼告訴你我多喜歡,魏嘉瑩、理想混蛋 雞丁,華語,2021,《你好嗎？》
76,淪陷,王靖雯,華語,2021,《淪陷》
77,無間鳥,童雲晞 、陳彥允,華語,2021,《無間鳥-影視旗艦大戲《她們創業的那些鳥事》主題曲》
78,癡人說夢,玖壹壹|Nine One One,華語,2021,《癡人說夢》
79,錯季,秋原依,華語,2021,《錯季》
80,TA,不是花火呀,華語,2021,《TA》
81,抱一抱一下,八三夭 、柯佳嬿,華語,2021,《抱一抱一下》
82,山山,大淵MUTAxKID林柏昇x阿部瑪利亞,華語,2021,《木曜跨界演唱會-Rising》
83,運氣來得若有似無,告五人,華語,2021,《運氣來得若有似無》
84,遺失的靈魂,陳勢安,華語,2021,《遺失的靈魂》
85,餘地,于文文,華語,2021,《餘地》
86,裹著心的光,林俊傑,華語,2021,《裹著心的光》
87,我常常想起你,棉花糖,華語,2021,《我常常想起你》
88,我們,Ray 黃霆睿,華語,2021,《fff》
89,請你嫁給我,韋禮安,華語,2021,《請你嫁給我》
90,郵票,陳芳語 、瘦子E.SO,華語,2021,《公主病》
91,送予你的歌,蕭煌奇,華語,2021,《送予你的歌》
92,醒不來的夢,回小仙,華語,2021,《醒不來的夢》
93,Bring you to life,木曜4超玩,華語,2021,《木曜跨界演唱會-Rising》
94,迷失幻境,IN-K、王忻辰,華語,2021,《迷失幻境》
95,最後一秒鐘,九澤CP,華語,2021,《最後一秒鐘》
96,假如我是你,九九,華語,2021,《假如我是你》
97,橙色的夢,曾沛慈,華語,2021,《《我曾記得那男孩》影視劇OST》
98,最悲傷的事,A-Lin,華語,2021,《最悲傷的事》
99,Don't Be Afraid,文慧如 、黃祝賢儒,華語,2021,《Don't Be Afraid》
100,對等關係,李榮浩、張惠妹,華語,2021,《對等關係》
6,愛情限時批,琳誼 Ring、許富凱,台語,2021,《愛情限時批》
7,渡鳥,潘信維,台語,2021,《渡鳥》
8,莎喲娜拉,旺福,台語,2021,《莎喲娜拉》
9,心愛的再會啦,琳誼 Ring,台語,2021,《琳誼Ring01 北棲Playlist》
10,憂愁,琳誼 Ring、法蘭,台語,2021,《青春集》
11,舞台,蕭煌奇、潘麗麗、黃昺翔,台語,2021,《舞台》
12,錄音帶,琳誼 Ring,台語,2021,《青春集》
13,祝福,許富凱,台語,2021,《拾歌》
14,倔強的孤單,蕭煌奇,台語,2021,《舞台》
15,為愛做戇人,蕭煌奇,台語,2021,《舞台》
16,心內有你是幸福,郭婷筠,台語,2021,《心內有你是幸福》
17,無聲,許富凱,台語,2021,《無聲》
18,雨傘情,許富凱,台語,2021,《拾歌》
19,踅夜市,拍謝少年、余佩真,台語,2021,《歹勢好勢》
20,暗暝,PiA吳蓓雅,台語,2021,《成功的人》
21,繁華攏是夢,琳誼 Ring,台語,2021,《青春集》
22,愛的伴侶,翁立友vs向蕙玲,台語,2021,《放你飛》
23,愈愛愈殘忍,草屯囝仔,台語,2021,《愈愛愈殘忍》
24,放阮一個人,許富凱,台語,2021,《拾歌》
25,難渡情關,詹雅雯,台語,2021,《幸福過敏》
26,玲瑯踅,蔡昌憲,台語,2021,《有閒》
27,青春咱的夢,淺堤,台語,2021,《青春咱的夢》
28,陀螺,許富凱,台語,2021,《拾歌》
29,遮多遮多,王彙筑、陳以恆,台語,2021,《遮多遮多》
30,恰查某,陳布朗 MrBrown、玖壹壹,台語,2021,《恰查某》
31,癡情男子漢,琳誼 Ring,台語,2021,《青春集》
32,暝那會這呢長,許富凱,台語,2021,《拾歌》
33,含淚跳恰恰,許富凱,台語,2021,《拾歌》
34,純情青春夢,許富凱,台語,2021,《拾歌》
35,浪子心聲,彭正,台語,2021,《浪子心聲》
36,一夜情,黃浩庭,台語,2021,《一夜情》
37,牡丹雨,陳隨意vs唐儷,台語,2021,《牡丹雨》
38,情路放我過,詹雅雯,台語,2021,《幸福過敏》
39,天公疼憨人,許富凱,台語,2021,《拾歌》
40,切切咧,李明洋,台語,2021,《好命噹噹》
41,放你飛,翁立友,台語,2021,《放你飛》
42,青春思念曲,郭婷筠、彭正,台語,2021,《心內有你是幸福》
43,同心鳥,楊欣樺、李明洋,台語,2021,《晚頓》
44,七點半的飛行機,PiA吳蓓雅,台語,2021,《七點半的飛行機》
45,我愛的就是你,蕭煌奇,台語,2021,《舞台》
46,寫乎啥米人,許富凱,台語,2021,《拾歌》
47,朋友你現在好無,蕭煌奇,台語,2021,《舞台》
48,歲月的腳步,唐儷vs陳隨意,台語,2021,《歲月的腳步》
49,你麥管,曹雅雯,台語,2021,《你麥管》
50,等愛的女人,劉信明vs龍千玉,台語,2021,《衝過情關》
51,暗溝,張伍,台語,2021,《暗溝》
52,天燈,吳申梅,台語,2021,《天燈》
53,珍惜你的愛,郭婷筠,台語,2021,《心內有你是幸福》
54,一線牽,謝宜君vs楊哲,台語,2021,《北海道之戀》
55,胭脂花,陳淑萍,台語,2021,《胭脂花》
56,有閒,蔡昌憲,台語,2021,《有閒》
57,用愛表現,彭正、郭婷筠,台語,2021,《浪子心聲》
58,無情話,翁立友,台語,2021,《放你飛》
